CQI,MCS,BRATE(DW),BLER(DW),SNR,PHR,BLER(UP),BRATE(UP),CLASS
15.0,26.9,1570000.0,0,9.66,35.9,6.08,395,1280
15.0,26.4,569000.0,0,8.25,36.1,4.53,171,1280
15.0,27.0,1540000.0,0,9.51,37.6,4.62,371,1280
15.0,26.9,1120000.0,0,9.72,36.8,5.39,295,1280
15.0,26.8,1430000.0,0,10.2,37.7,6.22,315,1280
15.0,27.0,1550000.0,0,9.80,37.2,5.34,362,1280
15.0,26.8,1110000.0,0,9.87,37.1,5.95,273,1280
15.0,27.0,1040000.0,1.8,8.69,34.9,6.18,271,1024
15.0,24.7,179000.0,0,8.50,36.4,4.60,149,1024
15.0,25.5,171000.0,0,8.25,35.9,3.59,82.0,1024
15.0,25.2,157000.0,1.0,7.44,34.6,5.10,86.3,1024
15.0,26.0,235000.0,0,8.27,36.5,4.70,92.6,1024
15.0,24.8,231000.0,2.2,7.91,34.9,3.99,175,1024
15.0,24.2,176000.0,4.1,6.66,36.0,3.39,95.9,1024
15.0,26.6,927999.0,1.7,8.35,36.9,4.80,217,1024
15.0,25.2,252000.0,1.6,8.13,35.5,4.24,161,1024
15.0,26.2,563000.0,0,8.03,34.5,4.21,151,1024
15.0,25.7,349000.0,0,7.75,34.6,3.45,118,1024
15.0,26.4,609000.0,0,8.68,35.4,4.68,178,1024
14.8,26.6,476999.0,1.4,7.84,36.0,4.29,148,1024
15.0,26.4,583000.0,0,10.3,36.0,5.77,127,1024
15.0,26.6,672000.0,0,9.37,36.2,5.10,161,1024
15.0,26.5,444000.0,3.3,7.55,36.5,3.22,146,1024
15.0,26.4,663000.0,1.0,8.78,35.8,5.86,167,1024
15.0,26.6,704000.0,0,7.95,36.4,3.84,170,1024
15.0,26.5,536000.0,0,8.16,36.5,3.61,154,1024
15.0,26.9,727000.0,0,8.90,36.3,4.62,181,1280
15.0,26.4,249000.0,1.9,7.73,36.4,5.01,88.4,1280
15.0,26.3,730000.0,0,7.93,36.6,4.60,206,1280
15.0,26.6,940000.0,0,8.14,36.7,4.61,231,1280
15.0,26.7,345000.0,3.2,7.77,38.1,4.26,86.4,1280
15.0,26.6,272000.0,0,8.13,37.1,3.70,120,1280
15.0,26.9,900000.0,1.5,9.16,37.4,5.07,260,1280
15.0,27.0,585000.0,0,7.97,37.6,3.98,170,1280
15.0,27.0,386000.0,0,7.95,36.2,5.09,125,1280
15.0,26.8,705000.0,1.8,8.72,36.4,4.57,202,1280
15.0,27.0,547000.0,0,7.79,35.4,3.74,178,1280
15.0,27.0,640000.0,0,7.53,34.8,3.38,191,1280
15.0,27.0,742000.0,2.1,6.08,36.8,3.17,219,1280
15.0,27.0,1060000.0,0,7.91,37.0,3.45,361,1280
15.0,27.0,1120000.0,1.2,8.63,38.1,4.00,281,1280
15.0,27.0,928999.0,0,8.35,35.9,3.28,273,1280
15.0,26.4,795000.0,0,8.15,36.7,3.85,347,1280
15.0,26.7,1300000.0,0,8.83,36.5,4.46,343,1280
15.0,26.8,1080000.0,1.0,8.39,35.5,4.46,282,1280
15.0,27.0,1030000.0,0,7.29,35.9,2.57,286,1280
15.0,26.9,588000.0,0,6.59,37.0,2.71,238,1280
15.0,26.9,668000.0,1.2,6.38,36.2,2.61,192,1024
15.0,27.0,378000.0,0,6.01,35.3,1.40,103,1024
15.0,26.0,200000.0,0,5.64,35.9,1.32,69.1,1024
15.0,26.1,256000.0,4.3,5.63,35.6,1.74,98.1,1024
15.0,27.0,307000.0,0,5.71,36.4,1.45,88.6,1024
15.0,27.0,309000.0,0,6.32,35.5,2.04,101,1024
15.0,27.0,324000.0,0,5.83,36.5,3.08,97.7,1024
15.0,26.7,543000.0,0,5.39,35.6,1.83,159,1280
15.0,27.0,450000.0,0,5.93,35.3,2.40,144,1280
15.0,27.0,507000.0,0,5.99,36.5,2.37,178,1280
15.0,27.0,724000.0,0,5.88,35.2,2.05,201,1280
15.0,26.8,602000.0,0,5.50,37.3,3.47,122,1280
15.0,26.8,553000.0,1.0,5.36,36.2,1.90,184,1280
15.0,26.7,425000.0,0,5.93,36.5,1.73,141,1280
15.0,26.7,413999.0,0,4.58,37.2,1.39,117,1280
15.0,27.0,535000.0,0,5.08,36.1,1.29,157,1024
15.0,26.9,589000.0,0,5.73,35.4,2.01,178,1024
15.0,27.0,659000.0,0,6.10,36.4,2.09,182,1024
15.0,27.0,577000.0,0,7.50,36.8,2.98,171,1024
15.0,25.3,114999.0,0,6.66,35.6,3.15,89.1,1024
15.0,21.5,705,0,6.37,37.4,3.78,54.4,1024
15.0,23.6,106000.0,0,5.53,35.6,1.93,70.6,1024
15.0,26.2,447000.0,1.1,6.81,37.5,2.65,156,1024
15.0,25.9,401999.0,1.7,6.46,36.2,2.63,113,1024
15.0,26.3,615000.0,1.2,7.21,37.1,3.43,187,1024
15.0,26.1,206000.0,2.4,6.62,35.4,2.36,79.3,1024
15.0,26.0,675000.0,3.7,6.21,36.2,3.15,192,1024
15.0,26.5,2080000.0,0,18.5,29.2,14.0,671,1280
15.0,26.6,2270000.0,0,19.5,29.8,14.1,500,1280
15.0,26.6,1820000.0,0,18.4,28.2,13.8,620,1280
15.0,26.7,2430000.0,0,18.7,29.4,13.8,598,1280
15.0,26.9,3020000.0,0,18.5,30.0,13.1,677,1280
15.0,26.5,2110000.0,0,11.9,28.6,7.16,611,1280
15.0,26.6,2470000.0,0,17.0,31.7,12.5,466,1280
15.0,26.9,2910000.0,0,18.5,30.2,13.1,538,1280
15.0,26.8,2590000.0,0,18.4,30.6,13.7,521,1280
15.0,26.6,2060000.0,0,18.9,30.6,13.6,475,1280
15.0,26.8,2730000.0,0,19.0,30.4,14.0,547,1280
15.0,25.8,986000.0,0,19.5,28.4,14.5,209,1920
15.0,25.6,824000.0,0,19.8,28.5,14.4,164,1920
15.0,25.8,930000.0,0,19.7,28.0,14.6,175,1920
15.0,26.0,1040000.0,0,19.3,28.0,14.3,199,1920
15.0,26.0,1040000.0,0,19.2,28.3,14.5,190,1280
15.0,25.7,953999.0,0,18.4,29.2,14.1,181,1280
15.0,26.0,1190000.0,0,17.6,28.7,13.1,232,1280
15.0,26.2,1460000.0,0,14.4,28.0,10.1,305,1280
15.0,26.5,2310000.0,0,17.5,28.1,12.0,442,1920
15.0,26.5,2200000.0,0,20.7,27.4,13.7,438,1920
15.0,25.9,1220000.0,0,18.8,26.0,13.8,492,1920
15.0,25.6,913000.0,0,18.1,27.1,13.8,182,1920
15.0,26.2,1360000.0,0,17.6,27.6,13.2,291,1920
15.0,26.1,1889999.0,0,14.2,28.0,9.12,433,1920
15.0,25.8,1010000.0,0,16.8,26.4,12.0,482,1920
15.0,26.4,2130000.0,0,14.6,26.1,9.56,491,1920
15.0,26.4,1970000.0,0,14.8,23.8,10.6,420,1280
15.0,25.9,1550000.0,0,15.2,24.4,10.7,341,1280
